trailingEps,forwardEps,heldPercentInsiders,heldPercentInstitutions,profitMargins,priceToSalesTrailing12Months,payOutRatio,fiveYearAvgDividendYield,beta,overallRisk,boardRisk,ESG_score
5.73,10.17,0.06097,0.74573,0.02834,0.4785904,,2.86,1.718,7,3,18.54
-0.14,,,0.30015,-0.07432,12.8496,,4.53,0.52,,,50.36
,,,,,,,,,,,20.97
,,,,,,,,,,,23.36
,,,,,,,,,,,21.87
,,,,,,,,,,,22.08
,,,,,,,,,,,22.05
,,,,,,,,,,,22.05
,,,,,,,,,,,40.24
,,,,,,,,,,,40.24
,,,,,,,,,,,21.72
,,,,,,,,,,,46.74
,,,,,,,,,,,25.27
-0.5,2.06,0.0056,0.12578,-0.01449,0.5811848,,4.76,1.143,,,72.34
,,,,,,,,,,,29.6
,,,,,,,,,,,23.9
3.95,2.48,0.00106,0.72099996,0.29294002,4.087963,,2.18,1.031,10,7,21.38
,,,,,,,,,,,24.97
,,,,,,,,,,,22.61
,,,,,,,,,,,21.61
