trailingEps,forwardEps,heldPercentInsiders,heldPercentInstitutions,profitMargins,priceToSalesTrailing12Months,payOutRatio,fiveYearAvgDividendYield,beta,overallRisk,boardRisk,ESG_score
9.1,8.39,0.08462,0.82188004,0.30807,3.5135207,,3.0,1.03,2,5,30.19
5.14,6.22,0.00778,0.69537,0.113409996,1.8654239,,,0.826,9,9,15.36
17.39,32.05,0.01563,0.89885,0.02646,0.5289926,,0.87,0.558,3,4,11.65
3.29,3.8,0.00052,0.78054,0.23486,3.4946578,,3.0,0.853,1,6,13.87
13.8,16.16,0.15043001,0.67864,0.15572,6.944504,,0.99,1.258,8,10,18.08
2.46,,0.12868,0.44692,0.21614,0.015674261,,,0.322,9,9,31.9
0.41,,0.75687,0.07324,0.9902,1.97539,,,0.873,6,8,37.88
0.68,,0.47865,0.23502001,0.42806998,0.3789385,,3.77,0.708,3,2,17.33
0.96,,0.30667,0.20021,0.10888,0.07775452,,4.64,0.928,6,7,26.92
2.77,3.8,0.00099,0.83943003,0.11821,3.74748,,2.36,0.412,3,5,26.17
4.86,5.16,0.00026,0.49113,0.29496,2.172518,,5.29,1.103,1,3,17.73
3.71,4.62,0.0076099997,0.88315004,0.12658,1.4182413,,2.23,0.98,10,10,23.09
44.38,64.82,0.00588,0.93469,0.124469995,7.721848,,,1.286,6,6,20.66
5.14,20.93,0.00396,0.86143,0.02158,1.1845776,,2.66,1.038,8,7,19.3
8.87,9.88,0.00441,0.89879996,0.5793,14.126755,,2.96,0.498,10,9,17.8
6.44,6.15,0.00737,0.82265,0.2515,1.8735062,,4.68,1.272,4,8,25.19
3.01,3.61,0.00458,0.97486997,0.11887,2.2949426,,2.81,0.374,3,5,21.7
15.31,17.38,0.00196,0.72255,0.0273,1.3030118,,0.74,0.765,2,4,23.29
2.47,3.0,0.09947,0.62926996,0.23417,5.6782827,,3.04,0.591,4,7,21.63
3.13,3.81,0.00025,0.76793,0.31278,6.67065,,0.83,0.767,2,4,17.24
2.55,3.23,0.35579,0.5478,0.08262,1.3993574,,3.14,0.228,4,2,23.5
1.4,1.61,0.09206,0.83496004,0.33408,13.346841,,,1.217,8,10,16.03
1.08,1.66,0.00228,0.47402,0.17878,1.4945345,,2.08,2.882,3,3,42.38
3.7,1.81,0.01481,0.98091006,0.26081,6.7905483,,3.1,0.844,9,5,16.09
4.21,11.03,0.02848,0.83109003,0.11866,8.325854,,,1.283,6,6,14.88
1.85,2.19,0.0030500002,0.78032994,0.25346002,4.966328,,1.26,1.183,2,3,21.91
0.92,1.29,0.0119,1.00633,0.15263,16.243198,,,0.829,3,4,21.91
14.23,20.77,0.00904,0.91455,0.1673,3.847093,,1.16,0.917,4,5,22.77
1.07,,0.00147,0.43725,2.1758099,32.84173,,7.88,1.343,,,52.66
2.13,2.95,0.0189,0.8987,0.28589,3.5165117,,4.04,0.19,5,8,36.07
4.21,4.99,0.00162,0.98049,0.10985,1.9393535,,1.4,1.073,1,3,14.66
11.36,14.83,0.068179995,0.66597,0.1097,1.4847273,,4.42,1.118,1,4,36.6
6.47,9.22,0.0014599999,0.83099,0.0234,0.27256423,,2.87,0.499,5,4,21.97
1.57,2.48,0.31497,0.55584,0.07871,0.6727573,,1.65,2.785,5,8,39.31
-1.61,3.32,2.0000001e-05,0.98522,-0.08845,14.68542,,,1.054,,,47.35
-1.02,0.14,0.08229,0.72780997,-0.010650001,0.03131047,,,1.493,2,5,53.93
0.24,0.45,0.5376,0.17872,0.06422,1.0725886,,1.0,0.841,2,1,7.84
3.04,3.66,0.78875,0.06126,0.05466,0.43177417,,4.33,0.459,1,1,32.77
,,,,,,,,,,,37.5
,,,,,,,,,,,29.33
,,,,,,,,,,,29.33
0.57,0.61,0.00765,0.61359,0.14422,1.0213904,,3.45,0.898,1,1,28.13
0.27,,0.11655,0.27855,0.16402,0.09953483,,,1.527,4,7,25.44
6.56,5.87,0.0044299997,0.84870005,0.20177999,4.7759457,,1.43,0.603,3,3,20.95
2.42,,0.00088,0.31042,0.13804,1.2300149,,4.7,0.282,4,2,33.81
,,,,,,,,,,,29.11
2.72,4.02,0.00981,0.96362,0.018480001,0.49310073,,2.37,0.725,5,5,19.32
4.04,,0.031400003,0.70972,0.13052,1.4689579,,,1.498,1,1,29.24
7.17,7.51,0.0034400001,0.70466006,0.0794,0.47793806,,2.3,1.431,3,3,30.26
5.66,8.66,0.10745,0.81821,0.19941,7.818734,,0.38,0.86,7,10,11.86
7.42,10.08,0.44976002,0.51791,0.05696,0.9894609,,,1.034,5,2,22.56
8.25,9.7,0.00361,0.95265996,0.09155,1.8702459,,2.74,1.253,2,3,27.47
3.03,2.76,0.08039,0.41479,0.21355,0.9862934,,2.78,1.188,2,2,27.92
