trailingEps,forwardEps,heldPercentInsiders,heldPercentInstitutions,profitMargins,priceToSalesTrailing12Months,fiveYearAvgDividendYield,beta,overallRisk,boardRisk,ESG_score
6.47,9.22,0.00146,0.83099,0.0234,0.27256423,2.87,0.499,5,4,21.97
1.57,2.48,0.31497,0.55584,0.07871,0.6727573,1.65,2.785,5,8,39.31
0.24,0.45,0.5376,0.17872,0.06422,1.0725886,1,0.841,2,1,7.84
3.04,3.66,0.78875,0.06126,0.05466,0.43177417,4.33,0.459,1,1,32.77
0.57,0.61,0.00765,0.61359,0.14422,1.0213904,3.45,0.898,1,1,28.13
6.56,5.87,0.00443,0.84870005,0.20177999,4.7759457,1.43,0.603,3,3,20.95
2.72,4.02,0.00981,0.96362,0.018480001,0.49310073,2.37,0.725,5,5,19.32
7.17,7.51,0.00344,0.70466006,0.0794,0.47793806,2.3,1.431,3,3,30.26
5.66,8.66,0.10745,0.81821,0.19941,7.818734,0.38,0.86,7,10,11.86
8.25,9.7,0.00361,0.95265996,0.09155,1.8702459,2.74,1.253,2,3,27.47
3.03,2.76,0.08039,0.41479,0.21355,0.9862934,2.78,1.188,2,2,27.92
3.06,3.62,0.00543,0.86983,0.108219996,2.5368435,1.57,1.095,4,4,30.97
1.09,4.16,0.00233,0.75601,0.03505,2.558509,2.34,1.222,5,5,28.6
34.31,27.61,0.0017,0.78156996,0.16389999,1.769524,1.36,1.033,7,5,19.95
5.84,5.57,0.00706,0.70821,0.25972,2.0997212,4.53,2.2,2,1,33.76
11.25,13.74,0.00788,0.89281,0.29872,3.060147,2.28,1.445,7,1,22.5
8.69,8.29,0.0028,0.93671995,0.042940002,0.8756255,0.93,0.41,5,1,17.59
7.49,9.41,0.00861,0.92033994,0.0923,1.5208249,1.91,0.895,4,9,21.21
13.88,15.55,0.09889,0.84389,0.13177,1.3974167,1.04,1.638,7,9,21.03
3,1.26,0.00156,1.0269799,0.17419,8.360518,3.53,0.558,8,3,12.61
14.65,17.74,0.00541,0.96353996,0.11589,3.432379,0.98,0.855,9,8,29.19
6.76,7.18,0.00331,0.77089995,0.109610006,1.7737588,3.27,0.642,6,9,29.8
5.35,6.32,0.00133,0.66681,0.09932999,2.5521224,4.1,0.46,1,4,27.01
-1.85,3.55,0.01055,1.0009999,-0.03352,0.2739374,1.62,1.868,1,1,15.34
3.87,3.76,0.00926,0.55147,0.5141,4.610181,4.72,0.827,5,1,19.64
-0.04,0.19,0.77616996,0.06809,0.00351,0.31885675,3.43,0.485,10,10,25.83
0.6,0.37,0.014450001,0.53319,0.12375,0.03870371,1.08,0.298,1,1,23.67
9.55,5.22,0.00423,1.00918,0.14653,0.98117536,1.18,1.91,8,7,10.66
12.76,13.06,0.09889,0.84389,0.13177,1.3109038,1.03,1.638,7,9,21.03
8.01,11.36,0.00206,0.85894996,0.13873,5.1666665,2.37,1.07,3,5,17.94
7.49,8.94,0.00694,0.86536,0.09707,1.174077,3.28,1.539,5,6,25.27
14.18,16,0.01349,0.99305,0.22235,3.8312883,0.42,1.341,3,4,40.45
8.18,8.27,0.01017,0.91326,0.49155998,4.4340696,2.41,1.375,1,4,27.27
5.21,5.02,0.00255,0.92498,0.27364,2.6729865,1.49,1.313,4,1,17.6
4.78,7.32,0.00186,0.90172994,0.08957,4.2669845,1.05,1.101,9,6,19.86
7.21,5.6,0.0016,0.68351996,0.17179,2.0986736,3.66,0.351,4,5,23.81
3.11,5.57,0.00173,0.91700995,0.07326,1.6246598,4.2,0.966,1,1,27.51
4.4,9.66,0.00453,0.9797,0.10357001,5.9895663,0.86,1.517,9,3,23.16
60.19,68.67,0.01455,0.95499,0.17229,1.1594657,2.29,0.551,5,8,17.96
1.42,2.47,0.013839999,1.06448,0.02809,0.17976744,1.7,1.213,5,3,30.55
9.74,10.96,0.00338,0.82778,0.18358,4.94698,2.28,1.144,5,8,25.29
6.96,9.56,0.19782,0.76291,0.05677,1.552248,0.84,1.114,9,10,14.82
0.74,1.93,0.39556,0.54918,0.00912,0.18762268,3.88,2.604,1,1,20.3
1.7,6.39,0.33909,0.18694,0.01903,0.31632861,3.69,0.448,10,10,38.24
2.31,3.21,0.28266,0.54882,0.10717,1.5910554,4.84,0.666,4,7,33.7
1.06,1.27,0.12768,0.64419,0.15593,2.5473402,6.15,0.882,8,9,18.96
1.02,0.76,0.02167,0.90747,0.36687002,7.1821957,4.96,1.439,4,8,10.9
2.96,4.56,0.07616,0.76644,0.01442,0.26949793,2.05,0.461,7,5,21.27
-0.67,1.4,0.54689,0.12729,-0.007,0.4546966,7.72,1.775,10,10,26.11
36.01,130.95,0.04654,0.41606,0.067210004,9.301675,0.29,0.809,9,10,27.57
2.88,3.83,0.2031,0.39619,0.06525,0.75582254,5.3,1.237,3,4,16.43
1.27,145.62,0.59911,0.19895001,0.29286,0.056079272,1.75,0.479,5,7,21.28
2.33,2.39,0.38213003,0.15564,0.18625,1.6616453,4.96,0.6,9,7,25.33
2.12,3.05,0.31497,0.55584,0.07871,0.9134492,1.64,2.785,5,8,39.31
5.79,5.29,0.01623,0.78766996,0.33426,4.518993,1.74,0.658,1,1,13.97
7.23,4.54,0.00535,0.95967,0.22997999,2.2438412,2.46,1.023,2,2,29.33
2.5,5.26,0.00981,0.96362,0.018480001,0.44507274,2.38,0.725,5,5,19.32
10.06,12.43,0.67695,0.2016,0.14624,7.5729513,0.79,0.241,7,7,32.07
8.59,10,0.00117,0.83747,0.19141,5.364669,1.98,0.789,1,4,13.82
3.34,498.35,0.00207,0.79792,0.015700001,0.2700299,2.92,0.739,2,3,20.04
10.35,12.51,0.00788,0.89281,0.29872,2.796532,2.27,1.445,7,1,22.5
11.23,14.27,0.03918,1.00891,0.0806,1.3388177,2.18,1.574,6,7,17.43
2.8,3.65,0.45301998,0.30002,0.01642,0.36972657,3.07,0.388,3,5,14.79
-0.09,14.37,0.01911,1.09791,-0.028199999,0.8070499,7.07,0.436,3,2,18.11
3.61,1.81,0.67035,0.19869,0.11123,0.6719485,3.79,0.338,1,2,36.86
2.81,2.91,0.00543,0.86983,0.108219996,2.3982468,1.56,1.095,4,4,30.97
-0.26,-0.8,0.04459,1.09175,-0.04338,2.7367272,4.34,1.08,9,8,18.16
7.51,9.87,0.00491,0.86767995,0.12524,2.904002,1.58,1.27,5,7,25.88
6.9,8.16,0.00491,0.86767995,0.12524,2.7012002,1.57,1.27,5,7,25.88
208.59,362.38,0.32817,0.2186,0.07485,0.37016204,7.35,1.192,5,6,17.37
1.43,1.76,0.25821,0.67870003,0.14723,2.40831,2.14,0.661,10,10,66.23
312.99,332.42,0.08434,0.68044,0.19243,3.8930209,0.62,0.351,4,3,26.59
0.66,0.63,0.014450001,0.53319,0.12375,0.045338668,2.01,0.298,1,1,23.67
57.11,64.93,0.18515,0.47123,0.08167,1.4361417,0.39,0.927,5,3,13.03
0.78,1.42,0.48792,0.22153,0.17658001,9.360786,0.42,0.594,6,4,18.46
4.92,5.47,0.00133,0.66681,0.09932999,2.3607805,4.09,0.46,1,4,27.01
2.8,3.25,0.00182,0.90709,0.12877,4.0090117,1.16,0.529,5,6,19.86
-0.24,0.51,0.04459,1.09175,-0.04338,2.5090737,4.37,1.08,9,8,18.16
4.05,8.93,0.00453,0.9797,0.10357001,5.46657,0.86,1.517,9,3,23.16
4.2,4.63,0.68711996,0.19186,0.31909,3.0670035,5.25,0.463,5,7,31.03
1.31,1.75,0.168,0.26773,0.37741002,3.8211937,8.67,0.554,2,2,14.8
0.98,0.99,0.02948,0.47896,0.060599998,0.015172489,2.21,-0.04,1,1,26.59
1.07,1.07,0.02948,0.47896,0.060599998,0.016512796,1.95,-0.04,1,1,26.59
2.86,4.64,0.00173,0.91700995,0.07326,1.5124009,4.21,0.966,1,1,27.51
1.44,1.47,0.168,0.26773,0.37741002,4.127291,8.76,0.554,2,2,14.8
0.55,0.67,0.23586,0.30638,0.040960003,0.60361093,5.46,0.946,1,1,21.64
5.87,7.49,0.34054002,0.48156,0.05757,0.7001191,2.24,0.789,6,3,26.68
2.92,3.95,0.51624,0.20582001,0.018550001,0.2536248,4.78,0.869,4,5,35.2
0.18,1.01,0.15043001,0.40853,0.00544,0.34576598,4.65,0.612,1,2,17.64
11.95,8.23,0.00496,0.91208,0.32630002,2.8061135,2.2,1.397,2,4,34.16
55.3,63.58,0.01455,0.95499,0.17229,1.0905108,2.28,0.551,5,8,17.96
1.57,3.51,0.32724997,0.37287,0.047620002,1.6533952,0.48,0.6,5,3,16.6
-1,2.37,0.53,0.2744,-0.03046,0.5231776,5.11,1.083,10,10,24.27
-1,1.47,0.53,0.2744,-0.03046,0.51950747,5.11,1.083,10,10,24.27
11.21,14.76,0.21059999,0.65288,0.15063,2.8850894,1.32,1.23,9,7,18.61
5.01,5.12,0.00692,0.97472,0.08095,1.8319829,1.17,0.987,7,4,16.56
13.46,15.73,0.00541,0.96353996,0.11589,3.1694117,0.98,0.855,9,8,29.19
13.04,10.11,0.01349,0.99305,0.22235,3.4561577,0.42,1.341,3,4,40.45
0.18,0.68,0.15043001,0.40853,0.00544,0.3453537,4.65,0.612,1,2,17.64
4.05,5.76,0.0095,0.87606,0.10142,5.252624,1.39,0.684,6,8,21.16
4.43,11.37,0.0095,0.87606,0.10142,5.7670546,1.39,0.684,6,8,21.16
2.7,2.68,0.00916,0.8973,0.23069,6.6697097,1.17,0.807,2,3,29.98
-24.2,6.67,0.01553,0.6246,-2.22733,8.395551,4.7,1.051,2,2,11.11
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
