trailingEps,forwardEps,heldPercentInsiders,heldPercentInstitutions,profitMargins,priceToSalesTrailing12Months,payOutRatio,fiveYearAvgDividendYield,beta,overallRisk,boardRisk,ESG_score
1.85,2.19,0.0030500002,0.78032994,0.25346002,4.9429364,,1.26,1.183,2,3,21.91
0.92,1.29,0.0119,1.00634,0.15263,15.654291,,,0.829,3,4,21.91
14.22,20.77,0.00904,0.91455,0.1673,3.8806891,,1.16,0.917,4,5,22.77
1.07,,0.00147,0.43725,2.1758099,32.903423,,7.88,1.343,,,52.66
2.13,2.98,0.0189,0.89871,0.28589,3.5872786,,4.04,0.19,5,8,36.07
4.21,4.99,0.00162,0.98049,0.10985,1.9203175,,1.4,1.073,1,3,14.66
11.35,14.86,0.068179995,0.66599,0.1097,1.4932605,,4.42,1.118,1,4,36.6
6.47,9.22,0.0014599999,0.83097,0.0234,0.27545786,,2.87,0.499,5,4,21.97
1.57,2.48,0.31497,0.55573004,0.07871,0.6837934,,1.65,2.785,5,8,39.31
-1.6,3.32,2.0000001e-05,0.98521006,-0.08845,14.736068,,,1.054,,,47.35
-1.02,0.14,0.08229,0.72780997,-0.010650001,0.035142172,,,1.493,2,5,53.93
0.24,0.45,0.5376,0.17860001,0.06422,1.0560873,,1.0,0.841,2,1,7.84
3.05,3.66,0.78875,0.06177,0.05466,0.42715245,,4.33,0.459,1,1,32.77
0.57,0.61,0.00765,0.61443,0.14422,1.0229963,,3.45,0.898,1,1,28.13
2.72,4.02,0.00981,0.96362,0.018480001,0.49197143,,2.37,0.725,5,5,19.32
7.17,7.51,0.0034400001,0.70466006,0.0794,0.48475388,,2.3,1.431,3,3,30.26
5.66,8.66,0.10745,0.81821996,0.19941,7.8565087,,0.38,0.86,7,10,11.86
7.41,10.08,0.45062,0.51791,0.05696,0.9949271,,,1.034,5,2,22.56
8.25,9.7,0.00361,0.95267,0.09155,1.887594,,2.74,1.253,2,3,27.47
3.01,2.75,0.08039,0.41474998,0.17431,1.0834901,,2.78,1.188,2,2,27.92
3.06,3.62,0.00543,0.86983,0.108219996,2.5373626,,1.57,1.095,4,4,30.97
1.09,4.16,0.00233,0.75597,0.03505,2.5508966,,2.34,1.222,5,5,28.6
34.3,27.61,0.0017,0.78158,0.16389999,1.7937609,,1.36,1.033,7,5,19.95
5.84,5.44,0.0070599997,0.70821,0.25972,2.1316319,,4.53,2.2,2,1,33.76
4.55,8.52,0.16126,0.69099,0.036310002,0.85886496,,,0.962,8,8,16.66
1.3,2.23,0.00424,1.0296,0.14949,14.279476,,,1.174,5,9,24.05
11.26,13.74,0.00537,0.89276004,0.29872,3.0866187,,2.28,1.445,7,1,22.5
,,,,,,,,,,,28.12
8.69,8.27,0.0028,0.93671995,0.042940002,0.8737534,,0.93,0.41,5,1,17.59
7.49,9.41,0.00861,0.92035,0.0923,1.544298,,1.91,0.895,4,9,21.21
,,,,,,,,,,,22.41
13.88,15.55,0.09889,0.84389,0.13177,1.4415623,,1.04,1.638,7,9,21.03
-4.55,8.19,0.00266,1.04988,-0.03262,0.91259944,,,0.921,9,9,20.08
3.0,1.26,0.00156,1.0269899,0.17419,8.293813,,3.53,0.558,8,3,12.61
-0.47,,0.00054000004,0.08727,-1.31884,23.284397,,7.25,0.47,,,29.76
14.68,17.74,0.00382,0.96309,0.11589,3.4592755,,0.98,0.855,9,8,29.19
-0.69,,0.00095,0.1116,,,,10.71,,,,48.53
6.76,7.18,0.00331,0.77089995,0.109610006,1.7932416,,3.27,0.642,6,9,29.8
3.94,4.35,0.0022200001,0.84540004,0.41649,6.172194,,,0.759,3,4,59.69
5.35,6.32,0.00133,0.6668,0.09932999,2.56398,,4.1,0.46,1,4,27.01
,,,,,,,,,,,25.51
,,,,,,,,,,,20.78
,,,,,,,,,,,22.94
-1.85,3.55,0.01051,1.0009999,-0.03352,0.27499202,,1.62,1.868,1,1,15.34
,,,,,,,,,,,25.24
3.87,3.76,0.00926,0.55139,0.5141,4.615464,,4.72,0.827,5,1,19.64
-0.04,0.19,0.77616996,0.06766,0.0035100002,0.31738055,,3.43,0.485,10,10,25.83
3.98,7.59,0.0029699998,0.95675004,0.14092,4.6424003,,,0.767,3,4,13.29
8.03,11.36,0.0020299999,0.85809,0.13873,5.222938,,2.37,1.07,3,5,17.94
7.49,8.94,0.00694,0.86535,0.09707,1.1857986,,3.28,1.539,5,6,25.27
14.18,16.0,0.01349,0.99305,0.22235,3.886954,,0.42,1.341,3,4,40.45
8.18,8.27,0.01017,0.91324997,0.49155998,4.4287343,,2.41,1.375,1,4,27.27
5.21,5.02,0.0025499999,0.92497003,0.27364,2.654545,,1.49,1.313,4,1,17.6
-6.28,-0.69,0.107659996,0.32047,-0.100030005,0.20313342,,,0.671,10,10,27.47
4.8,7.32,0.0019,0.90050006,0.08957,4.2427144,,1.05,1.101,9,6,19.86
7.21,5.6,0.0016,0.68351,0.17179,2.1138718,,3.66,0.351,4,5,23.81
2.3,3.09,0.00849,0.83706003,0.23355,9.443878,,,1.047,3,5,18.57
1.8,4.01,0.02044,0.41603002,0.085389994,4.2722363,,,0.503,6,7,15.66
3.11,5.58,0.00174,0.91664004,0.07326,1.6363851,,4.2,0.966,1,1,27.51
,,,,,,,,,,,26.89
,,,,,,,,,,,22.31
4.39,9.66,0.00453,0.9797,0.10357001,6.1172843,,0.86,1.517,9,3,23.16
60.2,68.67,0.01472,0.95499,0.17229,1.1503495,,2.29,0.551,5,8,17.96
0.2,,,0.20766,0.20764999,7.3108125,,9.31,0.894,,,48.68
1.29,4.27,0.00464,0.91440004,0.03081,3.4574893,,1.0,1.072,10,10,25.48
5.8,18.21,0.00161,0.84395,0.15357,21.517572,,1.47,0.344,5,5,24.28
25.22,41.54,0.00201,0.92081,0.03494,0.70046484,,1.13,0.783,1,1,49.33
3.41,5.86,0.0034599998,0.77322,0.69332004,3.9992766,,2.54,1.361,8,4,28.36
1.09,1.68,0.10125,0.34175,0.050029997,0.6719578,,10.07,1.639,,,52.05
2.09,2.16,0.00099,0.53799,0.14184,1.7437145,,6.77,0.881,5,1,21.06
,,,,,,,,,,,33.68
13.0,12.08,0.00496,0.91211,0.32630002,3.1062367,,2.19,1.397,2,4,34.16
5.34,,2.0000001e-05,0.19400999,36.7975,138.9461,,7.21,1.219,,,21.0
-1.21,,0.000120000004,0.19783,,74.206154,,7.32,1.075354,,,22.07
-0.06,,,0.2765,,,,11.25,,,,23.51
10.3,13.31,0.00328,0.98630995,0.12498,10.305685,,1.66,0.589,4,4,13.88
4.22,4.76,0.062069997,0.91697,0.34884,2.9734294,,0.49,1.136,4,2,35.69
2.13,1.64,0.01804,0.95234,0.29069,8.217169,,3.52,0.849,7,9,11.91
8.53,10.66,0.45515,0.3676,0.13645001,6.5903435,,1.94,0.421,,,27.56
-1.27,4.77,0.00415,0.83651,-0.037130002,1.7263123,,2.98,0.596,5,6,18.62
1.86,2.12,0.00174,0.79797995,0.24258,4.790443,,2.37,0.809,3,4,24.63
6.33,5.74,0.01222,0.98460996,0.24157,9.341786,,3.23,0.806,4,8,12.44
2.24,3.08,0.008669999,1.01369,0.11191,2.8817024,,,2.021,9,8,64.51
11.1,7.73,0.00438,0.90274,0.19399,1.8089886,,3.72,0.701,4,6,26.67
,,,,,,,,,,,30.35
,,,,,,,,,,,24.04
,,,,,,,,,,,28.29
,,,,,,,,,,,26.54
,,,,,,,,,,,21.13
8.89,9.51,0.00063,0.6289,0.10645001,1.3264331,,5.21,0.947,7,7,41.6
2.34,2.62,0.00208,0.8536,0.10715,1.6934243,,3.4,0.605,3,1,22.86
5.31,15.48,0.00596,0.97014,0.062080003,1.4389906,,0.96,1.865,10,10,27.65
4.73,4.84,0.01079,1.00448,0.30714,11.579151,,3.22,0.746,7,7,15.2
,,,,,,,,,,,26.65
1.34,1.57,0.41689998,0.60409,0.03372,0.6326253,,4.21,2.223,3,5,15.59
6.71,5.96,0.19816,0.54777,0.24667,5.373018,,2.44,0.984,9,10,20.66
0.78,,0.00574,0.07557,6.79094,48.213013,,10.38,0.891,,,23.78
11.07,13.01,0.03108,0.93382,0.14939,6.296348,,,1.289,1,3,18.93
12.03,16.34,0.0051200003,0.86804,0.07842,1.8128363,,2.36,0.679,2,5,35.19
7.98,5.99,0.0022200001,0.75878996,0.13951999,2.7906911,,0.55,1.217,8,8,40.55
7.32,9.09,0.0029,0.96556,0.058930002,0.27886307,,4.06,1.5,4,5,28.5
4.11,4.67,0.00209,0.78752,0.12064,1.9294202,,3.24,0.134,6,4,21.13
1.39,,0.00104,0.52932,6.72169,39.64661,,3.58,1.131,,,23.67
2.94,3.37,0.00916,0.8973,0.23069,7.108384,,1.17,0.807,2,3,29.98
0.83,,0.052010003,0.13432999,5.5494,37.470963,,12.3,1.243,,,20.14
4.5,7.43,0.00102,0.88524,0.20892,3.3726208,,3.97,0.2,1,5,22.97
,,,,,,,,,,,24.99
10.07,12.53,0.02183,0.83593005,0.17819999,2.036087,,0.78,0.699,7,9,20.35
0.68,2.16,0.09681,0.71178,0.04616,2.2069094,,2.91,1.074,8,6,16.48
3.77,13.19,0.008450001,0.92859,0.10215,3.4694173,,0.53,0.968,7,8,20.87
,,,,,,,,,,,23.27
1.84,2.43,0.00247,0.8955,0.18632999,3.6497607,,1.63,0.987,5,4,18.5
5.79,7.84,0.0027700001,0.80573,0.24007,5.96325,,,1.044,10,7,24.22
22.85,39.1,0.0051499996,0.72539,0.1883,2.7888973,,2.22,1.416,7,7,25.45
-2.42,1.9,0.0066000004,0.86023,-0.03434,0.17743193,,2.81,1.833,1,1,15.48
9.34,10.6,0.00275,0.80261004,0.05702,0.9363255,,2.76,0.945,5,8,13.66
,,,,,,,,,,,21.51
-3.35,-1.75,0.10426,0.23343,-0.17499,0.16158265,,,1.234,,,47.13
36.26,42.96,0.09453,0.74974996,0.111,2.9866948,,1.44,1.138,2,5,16.0
,,,,,,,,,,,23.63
,,,,,,,,,,,23.63
0.05,0.06,0.53007,0.09149,0.25297,4.344192,,3.05,0.877,5,1,19.79
,,,,,,,,,,,25.21
-0.05,,0.47389,0.04052,,,,,0.738,,,78.16
2.92,3.92,0.0038100001,0.86885,0.11461,1.4876282,,2.22,2.003,4,7,25.63
-0.05,0.64,0.00846,0.89475,-0.0031400002,0.33555734,,5.02,1.581,1,1,14.2
4.87,4.68,0.00811,0.89397,0.12106,0.9698549,,2.51,1.435,5,5,14.98
-10.73,3.91,0.0614,0.90358,-0.29766,1.5079406,,3.55,0.713,5,1,7.08
7.97,11.44,0.00435,0.96097,0.10198,1.2158979,,2.34,0.879,3,4,16.63
-1.08,0.27,0.04861,0.84225,-0.32696998,9.594748,,,1.411,10,9,72.9
1.24,1.39,0.00935,0.8206,0.28092,2.7250586,,4.76,1.115,9,7,21.84
18.97,23.06,0.27224,0.64575994,0.080690004,1.3453854,,0.9,1.651,5,7,28.84
15.1,16.49,0.00078,0.72546995,0.09919,2.4628537,,2.29,0.99,2,7,12.64
