trailingEps,forwardEps,heldPercentInsiders,heldPercentInstitutions,profitMargins,priceToSalesTrailing12Months,payOutRatio,fiveYearAvgDividendYield,beta,overallRisk,boardRisk,ESG_score
,,,,,,,,,,,22.74
,,,,,,,,,,,47.5
,,,,,,,,,,,40.12
,,,,,,,,,,,25.67
,,,,,,,,,,,28.02
,,,,,,,,,,,28.52
,,,,,,,,,,,26.41
,,,,,,,,,,,27.04
,,,,,,,,,,,33.33
,,,,,,,,,,,23.75
,,,,,,,,,,,23.75
,,,,,,,,,,,23.4
,,,,,,,,,,,23.4
,,,,,,,,,,,21.73
,,,,,,,,,,,22.22
,,,,,,,,,,,23.04
,,,,,,,,,,,22.16
,,,,,,,,,,,22.22
,,,,,,,,,,,16.9
,,,,,,,,,,,29.17
,,,,,,,,,,,20.21
,,,,,,,,,,,26.89
,,,,,,,,,,,21.1
,,,,,,,,,,,22.49
,,,,,,,,,,,22.57
,,,,,,,,,,,24.47
,,,,,,,,,,,51.93
,,,,,,,,,,,44.26
,,,,,,,,,,,24.09
,,,,,,,,,,,26.09
,,,,,,,,,,,26.09
,,,,,,,,,,,30.12
,,,,,,,,,,,21.81
,,,,,,,,,,,25.25
,,,,,,,,,,,25.25
,,,,,,,,,,,29.6
,,,,,,,,,,,22.64
,,,,,,,,,,,26.89
,,,,,,,,,,,26.8
,,,,,,,,,,,26.87
,,,,,,,,,,,20.15
,,,,,,,,,,,22.16
,,,,,,,,,,,24.04
,,,,,,,,,,,21.73
,,,,,,,,,,,43.37
,,,,,,,,,,,25.67
,,,,,,,,,,,29.14
,,,,,,,,,,,25.56
,,,,,,,,,,,20.59
,,,,,,,,,,,28.1
,,,,,,,,,,,16.83
,,,,,,,,,,,26.09
,,,,,,,,,,,21.27
,,,,,,,,,,,22.48
,,,,,,,,,,,25.56
,,,,,,,,,,,22.65
,,,,,,,,,,,22.04
,,,,,,,,,,,16.83
,,,,,,,,,,,31.6
,,,,,,,,,,,25.26
,,,,,,,,,,,21.43
,,,,,,,,,,,20.13
153.02,173.22,0.18236999,0.24768,0.094840005,1.9352021,,0.95,-0.038,7,7,29.5
2.48,,0.23947,0.19615999,0.10265,1.0048572,,9.78,0.417,5,8,54.18
,,,,,,,,,,,33.23
,,,,,,,,,,,23.05
,,,,,,,,,,,25.4
,,,,,,,,,,,23.85
,,,,,,,,,,,25.91
,,,,,,,,,,,24.58
,,,,,,,,,,,22.4
,,,,,,,,,,,18.53
1.19,,0.09967,0.60862,-0.00792,1.5948248,,0.77,0.761,1,1,15.62
,,,,,,,,,,,20.64
,,,,,,,,,,,19.26
,,,,,,,,,,,26.55
,,,,,,,,,,,20.58
33.47,,0.60828,0.19621,0.2823,10.8041115,,0.5,0.567,8,10,12.61
33.45,33.42,0.60828,0.19621,0.2823,10.8155985,,0.5,0.567,8,10,12.61
,,,,,,,,,,,26.59
,,,,,,,,,,,22.3
,,,,,,,,,,,22.67
,,,,,,,,,,,21.55
,,,,,,,,,,,21.62
,,,,,,,,,,,21.55
,,,,,,,,,,,29.15
,,,,,,,,,,,29.39
-2.3,,0.00514,0.27173,,-3.7945323,,,0.486,,,32.31
,,,,,,,,,,,33.82
,,,,,,,,,,,29.02
,,,,,,,,,,,21.86
2.808,,0.0063899998,1.00021,0.04402,0.004807815,,,1.281,1,2,12.59
,,,,,,,,,,,26.82
0.1,,0.55984,0.090100005,0.73379,12.529228,,3.92,0.614,,,57.01
,,,,,,,,,,,22.13
,,,,,,,,,,,21.23
,,,,,,,,,,,24.19
,,,,,,,,,,,24.19
,,,,,,,,,,,16.81
,,,,,,,,,,,51.08
,,,,,,,,,,,34.09
,,,,,,,,,,,32.42
,,,,,,,,,,,31.9
,,,,,,,,,,,34.38
,,,,,,,,,,,25.39
,,,,,,,,,,,20.57
,,,,,,,,,,,19.56
,,,,,,,,,,,19.83
,,,,,,,,,,,19.83
,,,,,,,,,,,26.44
,,,,,,,,,,,21.01
2.763,,0.01202,0.75203,0.40774,0.055340797,,,0.876,1,1,15.67
,,,,,,,,,,,22.3
,,,,,,,,,,,20.07
,,,,,,,,,,,20.07
,,,,,,,,,,,24.8
,,,,,,,,,,,17.49
,,,,,,,,,,,22.7
,,,,,,,,,,,20.04
,,,,,,,,,,,19.89
,,,,,,,,,,,33.09
,,,,,,,,,,,24.0
,,,,,,,,,,,23.3
,,,,,,,,,,,23.3
,,,,,,,,,,,23.3
,,,,,,,,,,,17.97
