trailingEps,forwardEps,heldPercentInsiders,heldPercentInstitutions,profitMargins,priceToSalesTrailing12Months,payOutRatio,fiveYearAvgDividendYield,beta,overallRisk,boardRisk,ESG_score
,,,,,,,,,,,22.94
,,,,,,,,,,,25.64
,,,,,,,,,,,22.94
,,,,,,,,,,,27.24
29.24,,0.75835997,0.14178,0.15632,5.220478,,0.83,0.543,5,4,38.3
29.24,,0.75835997,0.14178,0.15632,5.2239165,,0.83,0.543,5,4,38.3
,,,,,,,,,,,26.0
,,,,,,,,,,,26.89
,,,,,,,,,,,26.65
,,,,,,,,,,,29.54
,,,,,,,,,,,33.8
,,,,,,,,,,,47.02
,,,,,,,,,,,32.48
,,,,,,,,,,,27.63
,,,,,,,,,,,26.29
,,,,,,,,,,,23.47
,,,,,,,,,,,27.32
,,,,,,,,,,,28.05
,,,,,,,,,,,31.14
,,,,,,,,,,,30.51
,,,,,,,,,,,24.64
,,,,,,,,,,,35.26
,,,,,,,,,,,35.26
,,,,,,,,,,,32.48
,,,,,,,,,,,27.63
,,,,,,,,,,,24.63
,,,,,,,,,,,26.29
,,,,,,,,,,,23.47
,,,,,,,,,,,27.32
,,,,,,,,,,,22.08
,,,,,,,,,,,19.82
,,,,,,,,,,,23.7
,,,,,,,,,,,27.02
0.08,,0.02478,0.49300998,1.17619,14.618003,,1.37,1.072,,,56.85
-0.46,,0.01355,0.52782,,-13.063183,,0.67,0.743,,,25.23
135.93,,0.54675,0.1607,0.06436,0.28078428,,5.55,1.001,4,5,37.75
,,,,,,,,,,,30.45
,,,,,,,,,,,30.45
,,,,,,,,,,,30.45
,,,,,,,,,,,49.63
,,,,,,,,,,,22.97
,,,,,,,,,,,21.24
,,,,,,,,,,,22.97
,,,,,,,,,,,21.47
1.39,,0.00028,0.56608003,0.39007,0.023257911,,13.25,1.192,7,6,20.07
,,,,,,,,,,,45.61
,,,,,,,,,,,27.54
,,,,,,,,,,,23.65
,,,,,,,,,,,25.66
,,,,,,,,,,,60.63
,,,,,,,,,,,24.71
,,,,,,,,,,,24.71
,,,,,,,,,,,21.55
,,,,,,,,,,,23.35
,,,,,,,,,,,23.85
,,,,,,,,,,,23.14
,,,,,,,,,,,22.75
,,,,,,,,,,,22.75
,,,,,,,,,,,22.75
,,,,,,,,,,,21.86
0.56,0.47,0.00386,0.309,0.24745001,1.2724835,,4.96,1.343,1,2,22.38
,,,,,,,,,,,23.82
,,,,,,,,,,,38.97
,,,,,,,,,,,38.97
,,,,,,,,,,,38.97
,,,,,,,,,,,29.67
,,,,,,,,,,,38.97
,,,,,,,,,,,38.97
,,,,,,,,,,,29.67
,,,,,,,,,,,45.41
,,,,,,,,,,,21.55
,,,,,,,,,,,26.22
,,,,,,,,,,,20.63
,,,,,,,,,,,20.63
,,,,,,,,,,,20.63
22.2,30.29,0.01828,0.55962,0.077309996,0.99321836,,3.27,1.105,1,1,27.06
788.58,,0.70669,0.17325,0.1421,5.418776,,0.51,0.677,2,3,8.33
789.23,664.18,0.70669,0.17325,0.1421,5.4322124,,0.51,0.677,2,3,8.33
,,,,,,,,,,,22.67
3.171,,0.0108,0.94385004,0.08422,,,,1.406,5,8,23.33
,,,,,,,,,,,30.3
1.2,81.18,0.00187,0.69813,0.14467,1.402381,,2.21,1.136,1,1,9.62
,,,,,,,,,,,21.92
,,,,,,,,,,,21.92
,,,,,,,,,,,19.96
,,,,,,,,,,,19.96
1.66,1.54,0.42001,0.27184,7.13256,24.221708,,1.21,0.589,8,5,37.55
1.37,,0.13325,0.42738,0.94768,2.0631278,,5.72,0.988,,,28.5
-2.88,,0.04033,0.40755,,-17.302639,,2.36,1.094,,,25.93
,,,,,,,,,,,23.21
,,,,,,,,,,,24.52
,,,,,,,,,,,24.15
,,,,,,,,,,,24.23
,,,,,,,,,,,23.65
,,,,,,,,,,,24.0
,,,,,,,,,,,24.45
,,,,,,,,,,,22.19
,,,,,,,,,,,22.4
,,,,,,,,,,,22.02
,,,,,,,,,,,26.61
,,,,,,,,,,,26.61
,,,,,,,,,,,25.54
,,,,,,,,,,,43.43
,,,,,,,,,,,27.98
,,,,,,,,,,,22.05
0.95,,0.305,0.17002001,0.87053,11.79968,,2.19,0.682,,,20.63
,,,,,,,,,,,24.87
,,,,,,,,,,,23.49
,,,,,,,,,,,27.16
,,,,,,,,,,,30.75
,,,,,,,,,,,20.87
,,,,,,,,,,,23.38
-0.68,,0.0029699998,0.65668,,,,,,,,24.43
-2.43,,0.23663001,0.54402,,,,9.46,,,,26.22
,,,,,,,,,,,25.67
,,,,,,,,,,,21.27
,,,,,,,,,,,20.11
,,,,,,,,,,,24.56
,,,,,,,,,,,20.32
,,,,,,,,,,,26.74
1.92,4.37,0.02497,0.87191004,0.03957,1.0096442,,,2.037,3,2,16.69
,,,,,,,,,,,20.43
,,,,,,,,,,,20.43
,,,,,,,,,,,25.44
-0.05,1.1,0.00495,0.48348,-0.00343,0.67351764,,4.63,2.55,10,10,24.49
1.74,0.7,0.08392,0.90846,0.17186001,1.620955,,,2.06,2,2,48.57
,,,,,,,,,,,22.86
,,,,,,,,,,,29.18
,,,,,,,,,,,23.7
,,,,,,,,,,,23.7
,,,,,,,,,,,26.61
,,,,,,,,,,,22.39
,,,,,,,,,,,23.43
,,,,,,,,,,,23.43
,,,,,,,,,,,22.02
,,,,,,,,,,,44.61
18.686,,0.00426,1.0674,0.17916,0.019268798,,,1.343,4,4,26.13
8.198,,0.13501,0.87281996,0.0068699997,0.0018638473,,,0.446,3,5,12.75
,,,,,,,,,,,22.66
,,,,,,,,,,,22.66
,,,,,,,,,,,23.27
,,,,,,,,,,,20.21
,,,,,,,,,,,21.47
,,,,,,,,,,,20.21
,,,,,,,,,,,21.48
,,,,,,,,,,,23.12
,,,,,,,,,,,22.45
,,,,,,,,,,,23.79
,,,,,,,,,,,23.12
,,,,,,,,,,,20.64
,,,,,,,,,,,20.64
,,,,,,,,,,,20.64
,,,,,,,,,,,20.64
,,,,,,,,,,,25.98
