trailingEps,forwardEps,heldPercentInsiders,heldPercentInstitutions,profitMargins,priceToSalesTrailing12Months,payOutRatio,fiveYearAvgDividendYield,beta,overallRisk,boardRisk,ESG_score
,,,,,,,,,,,22.15
,,,,,,,,,,,18.47
,,,,,,,,,,,23.05
,,,,,,,,,,,26.43
,,,,,,,,,,,24.57
,,,,,,,,,,,21.92
,,,,,,,,,,,22.74
,,,,,,,,,,,21.92
,,,,,,,,,,,20.21
,,,,,,,,,,,24.42
,,,,,,,,,,,57.45
,,,,,,,,,,,24.44
,,,,,,,,,,,24.88
,,,,,,,,,,,16.27
,,,,,,,,,,,16.27
,,,,,,,,,,,16.27
,,,,,,,,,,,19.88
,,,,,,,,,,,23.58
,,,,,,,,,,,21.87
,,,,,,,,,,,28.9
,,,,,,,,,,,26.07
,,,,,,,,,,,28.67
,,,,,,,,,,,23.63
,,,,,,,,,,,22.93
,,,,,,,,,,,23.63
,,,,,,,,,,,23.68
,,,,,,,,,,,23.68
7.4,11.21,0.01368,1.02502,0.099309996,2.0686536,,,1.558,1,3,30.39
1.76,2.41,0.01563,0.7504,0.18958999,5.514015,,1.48,0.738,4,5,65.44
,,,,,,,,,,,23.68
,,,,,,,,,,,23.68
,,,,,,,,,,,20.42
,,,,,,,,,,,23.68
,,,,,,,,,,,25.27
,,,,,,,,,,,26.04
,,,,,,,,,,,23.68
,,,,,,,,,,,25.07
,,,,,,,,,,,21.19
,,,,,,,,,,,20.14
,,,,,,,,,,,24.81
-5.19,1.2,0.057210002,0.10114,-0.01191,0.17337987,,,1.368,,,53.35
,,,,,,,,,,,24.55
,,,,,,,,,,,20.76
,,,,,,,,,,,20.76
0.76,0.83,0.21886998,0.16995001,0.3744,1.8903939,,8.2,0.299,8,4,29.82
,,,,,,,,,,,22.45
,,,,,,,,,,,22.31
,,,,,,,,,,,26.29
,,,,,,,,,,,20.97
,,,,,,,,,,,29.32
,,,,,,,,,,,29.32
,,,,,,,,,,,31.14
,,,,,,,,,,,20.97
,,,,,,,,,,,20.97
,,,,,,,,,,,21.52
,,,,,,,,,,,22.73
,,,,,,,,,,,23.23
,,,,,,,,,,,13.41
,,,,,,,,,,,25.71
,,,,,,,,,,,22.91
0.2,25.0,0.00855,0.54661,0.03235,0.4088015,,6.1,1.566,1,1,28.53
,,,,,,,,,,,24.02
,,,,,,,,,,,24.85
,,,,,,,,,,,22.9
,,,,,,,,,,,20.78
,,,,,,,,,,,23.46
,,,,,,,,,,,22.62
,,,,,,,,,,,23.46
,,,,,,,,,,,22.81
,,,,,,,,,,,23.79
,,,,,,,,,,,23.48
,,,,,,,,,,,23.48
,,,,,,,,,,,23.48
,,,,,,,,,,,23.48
